FULL NAME,TEAM,POINTS PER GAME
Jimmy Butler,Phi,19.4
Tobias Harris,Phi,15.5
JJ Redick,Phi,13.4
Ben Simmons,Phi,13.9
Joel Embiid,Phi,20.2
James Ennis III,Phi,7.5
Jonah Bolden,Phi,1.6
Boban Marjanovic,Phi,6.4
Greg Monroe,Phi,4.0
Mike Scott,Phi,5.6
T.J. McConnell,Phi,2.7
Jonathon Simmons,Phi,3.6
Furkan Korkmaz,Phi,4.8
Amir Johnson,Phi,2.0
Zhaire Smith,Phi,0.0
