FULL NAME,TEAM,POINTS PER GAME
Steven Adams,Okc,11.8
Raymond Felton,Okc,2.2
Terrance Ferguson,Okc,5.0
Paul George,Okc,28.6
Jerami Grant,Okc,11.6
Markieff Morris,Okc,3.8
Nerlens Noel,Okc,4.8
Dennis Schroder,Okc,13.8
Russell Westbrook,Okc,22.8
Deonte Burton,Okc,0.7
Abdel Nader,Okc,0.7
