FULL NAME,TEAM,POINTS PER GAME
Will Barton,Den,9.1
Malik Beasley,Den,8.1
Torrey Craig,Den,6.6
Gary Harris,Den,14.2
Nikola Jokic,Den,25.1
Paul Millsap,Den,14.6
Monte Morris,Den,5.4
Jamal Murray,Den,21.3
Mason Plumlee,Den,4.6
Juancho Hernangomez,Den,0.6
Jarred Vanderbilt,Den,0.0
Trey Lyles,Den,0.0
