FULL NAME,TEAM,POINTS PER GAME
Bruce Brown,Det,3.3
Andre Drummond,Det,14.3
Wayne Ellington,Det,7.8
Langston Galloway,Det,7.8
Reggie Jackson,Det,17.8
Luke Kennard,Det,15.0
Thon Maker,Det,5.5
Ish Smith,Det,6.0
Jose Calderon,Det,0.0
Glenn Robinson III,Det,4.3
Khyri Thomas,Det,4.7
Zaza Pachulia,Det,2.5
Blake Griffin,Det,24.5
Jon Leuer,Det,2.0
