FULL NAME,TEAM,POINTS PER GAME
Bojan Bogdanovic,Ind,18.0
Darren Collison,Ind,12.0
Tyreke Evans,Ind,15.3
Cory Joseph,Ind,7.5
Wesley Matthews,Ind,7.0
Domantas Sabonis,Ind,8.5
Myles Turner,Ind,9.8
Thaddeus Young,Ind,10.5
Doug McDermott,Ind,2.0
Aaron Holiday,Ind,1.7
TJ Leaf,Ind,2.0
Kyle O'Quinn,Ind,0.0
Edmond Sumner,Ind,0.0
