FULL NAME,TEAM,POINTS PER GAME
Gary Clark,Hou,2.9
Gary Harris,Den,12.9
Gary Payton II,Was,3.7
Gary Trent Jr.,Por,2.7
George Hill,Cle,10.8
George Hill,Mil,6.8
George King,Pho,0
Georges Niang,Uta,4
Gerald Green,Hou,9.2
Giannis Antetokounmpo,Mil,27.7
Glenn Robinson III,Det,4.2
Goran Dragic,Mia,13.7
Gordon Hayward,Bos,11.5
Gorgui Dieng,Min,6.4
Grayson Allen,Uta,5.6
Greg Monroe,Phi,13.7
Greg Monroe,Tor,4.8
Greg Monroe,Bos,3
Guerschon Yabusele,Bos,2.3
Hamidou Diallo,Okc,3.7
Harrison Barnes,Dal,17.7
Harrison Barnes,Sac,14.3
Harry Giles III,Sac,7
Hassan Whiteside,Mia,12.3
Haywood Highsmith,Phi,1.8
Henry Ellenson,Det,6
Henry Ellenson,Nyk,6
Ian Clark,Nor,6.7
Ian Mahinmi,Was,4.1
Ike Anigbogu,Ind,0
Iman Shumpert,Sac,8.9
Iman Shumpert,Hou,4.6
Isaac Bonga,Lal,0.9
Isaac Humphries,Atl,3
Isaiah Briscoe,Orl,3.5
Isaiah Canaan,Pho,7.5
Isaiah Canaan,Min,4.7
Isaiah Canaan,Mil,1.5
Isaiah Hartenstein,Hou,1.9
Isaiah Hicks,Nyk,4
Isaiah Thomas,Den,8.1
Ish Smith,Det,8.9
Ivan Rabb,Mem,5.8
Ivica Zubac,Lac,9.4
Ivica Zubac,Lal,8.5
J.J. Barea,Dal,10.9
J.P. Macura,Cha,3
Jabari Parker,Was,15
Jabari Parker,Chi,14.3
Jacob Evans,Gol,1.3
Jae Crowder,Uta,11.9
Jahlil Okafor,Nor,8.2
JaKarr Sampson,Chi,20
Jake Layman,Por,7.6
Jakob Poeltl,San,5.5
Jalen Brunson,Dal,9.3
Jalen Jones,Cle,5.1
Jamal Crawford,Pho,7.9
Jamal Murray,Den,18.2
James Ennis III,Hou,7.4
James Ennis III,Phi,5.3
James Harden,Hou,36.1
James Johnson,Mia,7.8
James Nunnally,Hou,4.5
James Nunnally,Min,2.1
JaMychal Green,Mem,9.8
JaMychal Green,Lac,8.7
Jared Dudley,Bro,4.9
Jared Terrell,Min,2.2
Jarell Martin,Orl,2.7
Jaren Jackson Jr.,Mem,13.8
Jaron Blossomgame,Cle,4.2
Jarred Vanderbilt,Den,1.5
Jarrett Allen,Bro,10.9
Jason Smith,Nor,4
Jason Smith,Was,3.7
Jason Smith,Mil,2.2
JaVale McGee,Lal,12
Jawun Evans,Pho,0.9
Jawun Evans,Okc,0
Jaylen Adams,Atl,3.2
Jaylen Brown,Bos,13
Jaylen Morris,Mil,2.5
Jayson Tatum,Bos,15.7
Jeff Green,Was,12.3
Jeff Teague,Min,12.1
Jemerrio Jones,Lal,4.5
Jerami Grant,Okc,13.6
Jeremy Lamb,Cha,15.3
Jeremy Lin,Atl,10.7
Jeremy Lin,Tor,7
Jerian Grant,Orl,4.2
Jerome Robinson,Lac,3.4
Jerryd Bayless,Min,6.1
Jevon Carter,Mem,4.4
Jimmer Fredette,Pho,3.7
Jimmy Butler,Min,21.3
Jimmy Butler,Phi,18.2
JJ Redick,Phi,18
Joakim Noah,Mem,7.1
Jodie Meeks,Tor,6.4
Joe Chealey,Cha,2
Joe Harris,Bro,13.7
Joe Ingles,Uta,12.1
Joel Embiid,Phi,27.5
John Collins,Atl,19.5
John Henson,Mil,5.6
John Holland,Cle,0
John Jenkins,Nyk,5.2
John Jenkins,Was,1.5
John Wall,Was,20.7
Johnathan Motley,Lac,4.6
Johnathan Williams,Lal,6.5
Jon Leuer,Det,3.8
Jonah Bolden,Phi,4.7
Jonas Jerebko,Gol,6.3
Jonas Valanciunas,Mem,19.9
Jonas Valanciunas,Tor,12.8
Jonathan Isaac,Orl,9.6
Jonathon Simmons,Orl,6.9
Jonathon Simmons,Phi,5.5
Jordan Bell,Gol,3.3
Jordan Clarkson,Cle,16.8
Jordan Loyd,Tor,2.4
Jordan McRae,Was,5.9
Jordan Sibert,Atl,3
Jose Calderon,Det,2.4
Josh Hart,Lal,7.8
Josh Jackson,Pho,11.5
Josh Okogie,Min,7.7
Josh Richardson,Mia,16.6
JR Smith,Cle,6.7
Jrue Holiday,Nor,21.2
Juancho Hernangomez,Den,5.8
Julian Washburn,Mem,2.2
Julius Randle,Nor,21.4
Justin Anderson,Atl,3.7
Justin Holiday,Chi,11.6
Justin Holiday,Mem,9.5
Justin Jackson,Dal,8.2
Justin Jackson,Sac,6.7
Justin Patton,Phi,1.7
Justise Winslow,Mia,12.6
Jusuf Nurkic,Por,15.6
Kadeem Allen,Nyk,9.9
Kalin Lucas,Det,2
Karl-Anthony Towns,Min,24.4
Kawhi Leonard,Tor,26.6
Keita Bates-Diop,Min,5
Kelly Olynyk,Mia,10
Kelly Oubre Jr.,Pho,16.9
Kelly Oubre Jr.,Was,12.9
Kemba Walker,Cha,25.6
Kenneth Faried,Hou,12.9
Kenneth Faried,Bro,5.1
Kenrich Williams,Nor,6.1
Kent Bazemore,Atl,11.6
Kentavious Caldwell-Pope,Lal,11.4
Kevin Durant,Gol,26
Kevin Huerter,Atl,9.7
Kevin Knox,Nyk,12.8
Kevin Love,Cle,17
Kevon Looney,Gol,6.3
Khem Birch,Orl,4.8
Khris Middleton,Mil,18.3
Khyri Thomas,Det,2.3
Klay Thompson,Gol,21.5
Kobi Simmons,Cle,0
Kosta Koufos,Sac,3.7
Kostas Antetokounmpo,Dal,1
Kris Dunn,Chi,11.3
Kyle Anderson,Mem,8
Kyle Korver,Uta,9.1
Kyle Korver,Cle,6.8
Kyle Kuzma,Lal,18.7
Kyle Lowry,Tor,14.2
Kyle O'Quinn,Ind,3.5
Kyrie Irving,Bos,23.8
LaMarcus Aldridge,San,21.3
Lance Stephenson,Lal,7.2
Lance Thomas,Nyk,4.5
Landry Shamet,Lac,10.9
Landry Shamet,Phi,8.3
Langston Galloway,Det,8.4
Larry Nance Jr.,Cle,9.4
Lauri Markkanen,Chi,18.7
LeBron James,Lal,27.4
Lonnie Walker IV,San,2.6
Lonzo Ball,Lal,9.9
Lorenzo Brown,Tor,2.1
Lou Williams,Lac,20
Luc Mbah a Moute,Lac,5
Luka Doncic,Dal,21.2
Luke Kennard,Det,9.7
Luke Kornet,Nyk,7
Luol Deng,Min,7.1
Malachi Richardson,Tor,1.4
Malcolm Brogdon,Mil,15.6
Malcolm Miller,Tor,3.5
Malik Beasley,Den,11.3
Malik Monk,Cha,8.9
Marc Gasol,Mem,15.7
Marc Gasol,Tor,9.1
Marcin Gortat,Lac,5
Marco Belinelli,San,10.5
Marcus Derrickson,Gol,4.2
Marcus Morris,Bos,13.9
Marcus Smart,Bos,8.9
Mario Hezonja,Nyk,8.8
Markelle Fultz,Phi,8.2
Markieff Morris,Was,11.5
Markieff Morris,Okc,6.5
Marquese Chriss,Cle,5.7
Marquese Chriss,Hou,1.8
MarShon Brooks,Mem,6.6
Marvin Bagley III,Sac,14.9
Marvin Williams,Cha,10.1
Mason Plumlee,Den,7.8
Matthew Dellavedova,Cle,7.3
Matthew Dellavedova,Mil,1.7
Maurice Harkless,Por,7.7
Maxi Kleber,Dal,6.8
Melvin Frazier Jr.,Orl,1.5
Meyers Leonard,Por,5.9
Michael Beasley,Lal,7
Michael Carter-Williams,Orl,5.4
Michael Carter-Williams,Hou,4.3
Michael Kidd-Gilchrist,Cha,6.7
Mikal Bridges,Pho,8.3
Mike Conley,Mem,21.1
Mike Muscala,Phi,7.4
Mike Muscala,Lal,5.9
Mike Scott,Phi,7.8
Mike Scott,Lac,4.8
Miles Bridges,Cha,7.5
Miles Plumlee,Atl,4.4
Milos Teodosic,Lac,3.2
Mitchell Creek,Min,6
Mitchell Creek,Bro,3.8
Mitchell Robinson,Nyk,7.3
Mo Bamba,Orl,6.2
Monte Morris,Den,10.4
Montrezl Harrell,Lac,16.6
Moritz Wagner,Lal,4.8
Myles Turner,Ind,13.3
Naz Mitrou-Long,Uta,1.1
Nemanja Bjelica,Sac,9.6
Nene,Hou,3.6
Nerlens Noel,Okc,4.9
Nick Young,Den,2.3
Nicolas Batum,Cha,9.3
Nik Stauskas,Por,6.1
Nik Stauskas,Cle,5.5
Nikola Jokic,Den,20.1
Nikola Mirotic,Nor,16.7
Nikola Mirotic,Mil,11.6
Nikola Vucevic,Orl,20.8
Noah Vonleh,Nyk,8.4
Norman Powell,Tor,8.6
OG Anunoby,Tor,7
Okaro White,Was,0
Omari Spellman,Atl,5.9
Omri Casspi,Mem,6.3
Otto Porter Jr.,Chi,17.5
Otto Porter Jr.,Was,12.6
Pascal Siakam,Tor,16.9
Pat Connaughton,Mil,6.9
Patrick Beverley,Lac,7.6
Patrick McCaw,Tor,2.7
Patrick McCaw,Cle,1.7
Patrick Patterson,Okc,3.6
Patty Mills,San,9.9
Pau Gasol,San,4.2
Pau Gasol,Mil,1.3
Paul George,Okc,28
Paul Millsap,Den,12.6
PJ Dozier,Bos,3.2
PJ Tucker,Hou,7.3
Quincy Acy,Pho,1.7
Quincy Pondexter,San,1.8
Quinn Cook,Gol,6.9
Rajon Rondo,Lal,9.2
Raul Neto,Uta,5.3
Rawle Alkins,Chi,3.7
Ray Spalding,Pho,4.2
Ray Spalding,Dal,0
Raymond Felton,Okc,4.3
Reggie Bullock,Det,12.1
