FULL NAME,TEAM,POINTS PER GAME
Jae Crowder,Uta,11.4
Derrick Favors,Uta,11.8
Rudy Gobert,Uta,11.2
Joe Ingles,Uta,6.4
Donovan Mitchell,Uta,21.4
Georges Niang,Uta,4.4
Royce O'Neale,Uta,10.6
Ricky Rubio,Uta,15.4
Kyle Korver,Uta,2.5
Thabo Sefolosha,Uta,1.3
Raul Neto,Uta,0.7
Grayson Allen,Uta,4.5
Ekpe Udoh,Uta,0.0
