FULL NAME,TEAM,POINTS PER GAME
Patrick Beverley,Lac,9.8
Danilo Gallinari,Lac,19.8
Shai Gilgeous-Alexander,Lac,13.7
JaMychal Green,Lac,11.0
Montrezl Harrell,Lac,18.3
Landry Shamet,Lac,7.7
Garrett Temple,Lac,2.3
Lou Williams,Lac,21.7
Jerome Robinson,Lac,3.6
Wilson Chandler,Lac,3.8
Sindarius Thornwell,Lac,1.3
Ivica Zubac,Lac,5.0
Tyrone Wallace,Lac,2.0
