FULL NAME,TEAM,POINTS PER GAME
D.J. Augustin,Orl,12.8
Khem Birch,Orl,5.2
Michael Carter-Williams,Orl,6.6
Evan Fournier,Orl,12.4
Aaron Gordon,Orl,15.2
Jonathan Isaac,Orl,6.6
Wes Iwundu,Orl,4.8
Terrence Ross,Orl,13.2
Nikola Vucevic,Orl,11.2
Melvin Frazier Jr.,Orl,1.7
Jerian Grant,Orl,1.7
Jarell Martin,Orl,3.3
