FULL NAME,TEAM,POINTS PER GAME
Clint Capela,Hou,9.7
Eric Gordon,Hou,17.8
Gerald Green,Hou,3.5
James Harden,Hou,31.6
Chris Paul,Hou,17.0
PJ Tucker,Hou,11.4
Austin Rivers,Hou,7.4
Iman Shumpert,Hou,3.6
Danuel House Jr.,Hou,4.9
Nene,Hou,3.9
Kenneth Faried,Hou,4.0
Gary Clark,Hou,0.0
Isaiah Hartenstein,Hou,2.0
