FULL NAME,TEAM,POINTS PER GAME
LaMarcus Aldridge,San,20.0
Marco Belinelli,San,5.9
DeMar DeRozan,San,22.0
Bryn Forbes,San,10.7
Rudy Gay,San,11.1
Patty Mills,San,5.3
Jakob Poeltl,San,7.3
Derrick White,San,15.1
Lonnie Walker IV,San,1.0
Davis Bertans,San,3.2
Dante Cunningham,San,1.2
Donatas Motiejunas,San,2.6
Quincy Pondexter,San,0.0
