FULL NAME,TEAM,POINTS PER GAME
Jarrett Allen,Bro,11.0
DeMarre Carroll,Bro,6.6
Spencer Dinwiddie,Bro,14.6
Treveon Graham,Bro,1.4
Joe Harris,Bro,8.8
Caris LeVert,Bro,21.0
D'Angelo Russell,Bro,19.4
Rodions Kurucs,Bro,6.3
Jared Dudley,Bro,3.0
Rondae Hollis-Jefferson,Bro,13.3
Ed Davis,Bro,5.3
Shabazz Napier,Bro,8.0
Theo Pinson,Bro,3.0
Dzanan Musa,Bro,2.0
