FULL NAME,TEAM,POINTS PER GAME
Aron Baynes,Bos,2.1
Jaylen Brown,Bos,13.9
Gordon Hayward,Bos,9.6
Al Horford,Bos,13.9
Kyrie Irving,Bos,21.3
Marcus Morris,Bos,13.7
Terry Rozier,Bos,6.4
Jayson Tatum,Bos,15.2
Daniel Theis,Bos,1.7
Semi Ojeleye,Bos,2.2
Brad Wanamaker,Bos,2.5
Guerschon Yabusele,Bos,2
Robert Williams III,Bos,1.3
Marcus Smart,Bos,3.5
