FULL NAME,TEAM,POINTS PER GAME
Giannis Antetokounmpo,Mil,25.5
Eric Bledsoe,Mil,13.7
Pat Connaughton,Mil,6.2
George Hill,Mil,11.5
Ersan Ilyasova,Mil,6.8
Brook Lopez,Mil,11.2
Khris Middleton,Mil,16.9
Nikola Mirotic,Mil,9.5
Tim Frazier,Mil,1.9
Sterling Brown,Mil,4.1
Tony Snell,Mil,0.6
D.J. Wilson,Mil,2.4
Malcolm Brogdon,Mil,13.0
