FULL NAME,TEAM,POINTS PER GAME
Al-Farouq Aminu,Por,7.4
Zach Collins,Por,6.8
Seth Curry,Por,5.6
Maurice Harkless,Por,8.4
Rodney Hood,Por,9.9
Enes Kanter,Por,11.4
Damian Lillard,Por,26.9
CJ McCollum,Por,24.7
Evan Turner,Por,2.7
Meyers Leonard,Por,7.7
Jake Layman,Por,0.8
Anfernee Simons,Por,0.8
Skal Labissiere,Por,0.7
