FULL NAME,TEAM,POINTS PER GAME
Marc Gasol,Tor,9.4
Danny Green,Tor,6.9
Serge Ibaka,Tor,9.4
Kawhi Leonard,Tor,30.5
Kyle Lowry,Tor,15.0
Pascal Siakam,Tor,19.0
Fred VanVleet,Tor,8.0
Norman Powell,Tor,6.5
Jodie Meeks,Tor,1.6
Malcolm Miller,Tor,0.8
Eric Moreland,Tor,0.3
Patrick McCaw,Tor,0.5
Jeremy Lin,Tor,1.1
Chris Boucher,Tor,2.5
