FULL NAME,TEAM,POINTS PER GAME
Stephen Curry,Gol,28.2
Draymond Green,Gol,13.3
Shaun Livingston,Gol,4.0
Kevon Looney,Gol,7.1
Alfonzo McKinnie,Gol,3.0
Klay Thompson,Gol,20.7
Andre Iguodala,Gol,9.8
Andrew Bogut,Gol,2.7
Jonas Jerebko,Gol,2.1
Jordan Bell,Gol,2.7
Quinn Cook,Gol,4.2
Kevin Durant,Gol,32.3
Jacob Evans,Gol,0.7
Damian Jones,Gol,0.8
DeMarcus Cousins,Gol,7.6
