tconst,seasonNumber,episodeNumber
tt0583443,3,11
tt0583461,3,13
tt0583464,3,2
tt0583474,3,10
tt0583487,3,15
tt0583495,3,17
tt0583496,3,25
tt0583501,3,16
tt0583506,3,12
tt0583520,3,5
tt0583538,3,14
tt0583565,3,23
tt0583590,3,21
tt0583596,3,20
tt0583606,3,6
tt0583607,3,9
tt0583609,3,8
tt0583615,3,18
tt0583619,3,3
tt0583629,3,4
tt0583634,3,1
tt0583637,3,7
tt0583643,3,22
tt0583654,3,19
tt0583657,3,24
