tconst,seasonNumber,episodeNumber
tt0583438,6,1
tt0583441,6,15
tt0583442,6,16
tt0583455,6,4
tt0583466,6,22
tt0583468,6,7
tt0583480,6,18
tt0583482,6,9
tt0583483,6,2
tt0583485,6,21
tt0583502,6,14
tt0583526,6,19
tt0583530,6,5
tt0583555,6,13
tt0583559,6,8
tt0583560,6,3
tt0583570,6,17
tt0583572,6,11
tt0583621,6,12
tt0583636,6,24
tt0583640,6,23
tt0583641,6,10
tt0756481,6,6
tt0756482,6,20
tt0954401,6,25
