tconst,seasonNumber,episodeNumber
tt0583459,1,1
tt0583462,1,8
tt0583469,1,24
tt0583492,1,9
tt0583493,1,19
tt0583510,1,18
tt0583521,1,4
tt0583534,1,11
tt0583568,1,16
tt0583569,1,17
tt0583577,1,23
tt0583579,1,7
tt0583582,1,13
tt0583585,1,6
tt0583587,1,14
tt0583598,1,12
tt0583599,1,5
tt0583602,1,20
tt0583603,1,21
tt0583616,1,22
tt0583630,1,10
tt0583647,1,2
tt0583649,1,15
tt0583653,1,3
