tconst,seasonNumber,episodeNumber
tt0583432,10,9
tt0583433,10,17
tt0583434,10,18
tt0583436,10,1
tt0583445,10,10
tt0583451,10,15
tt0583457,10,13
tt0583477,10,5
tt0583484,10,2
tt0583494,10,11
tt0583542,10,12
tt0583543,10,14
tt0583550,10,16
tt0583557,10,6
tt0583564,10,3
tt0583586,10,4
tt0583614,10,7
tt0583623,10,8
