tconst,seasonNumber,episodeNumber
tt0583439,2,12
tt0583447,2,18
tt0583448,2,17
tt0583449,2,19
tt0583453,2,3
tt0583456,2,16
tt0583465,2,20
tt0583481,2,7
tt0583488,2,15
tt0583514,2,24
tt0583519,2,5
tt0583537,2,9
tt0583539,2,4
tt0583562,2,1
tt0583567,2,10
tt0583574,2,6
tt0583583,2,2
tt0583584,2,21
tt0583591,2,23
tt0583624,2,11
tt0583625,2,8
tt0583635,2,14
tt0583656,2,22
tt0831047,2,13
